id,title,overview,release_date,popularity,vote_average,vote_count,release_year,release_month,release_day,weighted_rating
15,Citizen Kane,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",1941-04-17,3.2829,7.999,5710,1941,4,17,7.795679765456596
524,Casino,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",1995-11-22,5.8901,8.0,6103,1995,11,22,7.805274202237481
947,Lawrence of Arabia,"The story of British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",1962-12-11,3.8573,8.0,3188,1962,12,11,7.711441631117342
906126,Society of the Snow,"On October 13, 1972, Uruguayan Air Force Flight 571, chartered to take a rugby team to Chile, crashes into a glacier in the heart of the Andes.",2023-12-15,5.3627,8.0,3198,2023,12,15,7.711917851427162
11658,Tae Guk Gi: The Brotherhood of War,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",2004-02-05,1.8526,8.0,720,2004,2,5,7.512588454238529
14696,Ugetsu,"In 16th century Japan, peasants Genjuro and Tobei sell their earthenware pots to a group of soldiers in a nearby village, in defiance of a local sage's warning against seeking to profit from warfare. Genjuro's pursuit of both riches and the mysterious Lady Wakasa, as well as Tobei's desire to become a samurai, run the risk of destroying both themselves and their wives, Miyagi and Ohama.",1953-03-26,2.1545,7.995,600,1953,3,26,7.49482386691445
449176,"Love, Simon","Everyone deserves a great love story, but for 17-year-old Simon Spier, it's a little more complicated. He hasn't told his family or friends that he's gay, and he doesn't know the identity of the anonymous classmate that he's fallen for online.",2018-02-16,3.4809,7.994,6116,2018,2,16,7.80146856033012
205596,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",2014-11-14,10.7707,7.994,17427,2014,11,14,7.908807182252241
339877,Loving Vincent,A young man arrives at the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.,2017-06-22,2.3222,7.991,2514,2017,6,22,7.671050866394561
140420,Paperman,An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.,2012-11-02,0.9021,7.991,1743,2012,11,2,7.617475228219659
